suite,phase,value_bytes,clients,variant,samples,ops_per_second,logical_gib_s,physical_gib_s,cpu_cores,cpu_us_per_op,seconds,p50_us,p99_us,p999_us,min_ops_per_second,max_ops_per_second
main,read,1024,160,no_defer_taskrun,1,2770211.2090950864,2.641879281134688,10.567517124538751,19.998988658288503,7.2193010383570515,5.000228847,55.647,84.479,105.279,2770211.2090950864,2770211.2090950864
main,read,1024,160,no_huge_pages,1,2777898.999891331,2.6492109297669706,10.596843719067882,19.99891433072898,7.199294982111056,5.00023363,55.487,84.479,105.151,2777898.999891331,2777898.999891331
main,read,1024,160,no_registered_buffers,1,2770981.3814799204,2.6426137747573093,10.570455099029237,19.99913256700387,7.217346424869434,5.000201767,55.615,84.543,105.151,2770981.3814799204,2770981.3814799204
main,read,1024,160,no_registered_files,1,2776299.703021602,2.647685721418001,10.590742885672004,19.998930490425238,7.203447981015625,5.00023574,55.519,84.479,105.151,2776299.703021602,2776299.703021602
main,read,1024,160,reuse_encoded_metadata,1,2777861.6629542443,2.6491753224890178,10.596701289956071,19.998784133809373,7.199344877577795,5.00022128,55.487,84.415,105.151,2777861.6629542443,2777861.6629542443
main,read,1024,160,single_reap,1,2777145.7669511265,2.6484925908576264,10.593970363430506,19.998937077998363,7.2012558058679375,5.000235193,55.487,84.479,105.151,2777145.7669511265,2777145.7669511265
main,read,1024,640,baseline,6,9963702.426987682,9.502127100932771,38.008508403731085,19.99799967422691,2.0070925874214742,5.0004348375,61.823,107.35900000000001,137.087,9957362.839814842,9981461.945476187
main,read,1024,640,kernel_split,3,9953612.723558413,9.492504809912122,37.97001923964849,19.998057184853682,2.009018877334894,5.000444902,61.887,107.455,137.471,9945045.513744177,9958470.684396988
main,read,1024,640,no_defer_taskrun,3,9767918.711034717,9.315413199457852,37.26165279783141,19.99814162649023,2.047249440358832,5.000384672,62.911,108.479,137.727,9762474.600460855,9769289.492931284
main,read,1024,640,no_huge_pages,3,9959687.179019487,9.498297862071501,37.993191448286005,19.99799810361775,2.0078941982981555,5.000448619,61.855,107.391,136.959,9944683.161148975,9965203.28131312
main,read,1024,640,no_registered_buffers,3,9784656.565820964,9.331375661679234,37.325502646716934,19.997919367643046,2.043828269932077,5.000436415,62.879,108.479,137.727,9779729.084835077,9795163.079742597
main,read,1024,640,no_registered_files,3,9925685.282742783,9.4658711268833,37.8634845075332,19.998176287326107,2.0147279721280227,5.000396203,62.047,107.583,137.087,9925480.716870487,9926523.183199232
main,read,1024,640,reuse_encoded_metadata,3,9962064.589769322,9.500565137643168,38.00226055057267,19.99863154839958,2.0074881970207854,5.000274647,61.823,107.391,136.959,9960507.627391364,9969471.15541794
main,read,1024,640,single_reap,3,9940951.331015281,9.4804299650338,37.9217198601352,19.998246093316467,2.0117059524892733,5.000426941,61.951,107.455,137.087,9935217.449665366,9947750.68585264
main,read,1024,2560,baseline,2,14438737.136510387,13.769852768431079,55.079411073724316,19.998382429517264,1.3850508216208868,5.0003624470000005,163.327,250.303,267.39099999999996,14433891.617776634,14443582.655244138
