suite,phase,value_bytes,clients,variant,pairs,median_throughput_ratio,min_throughput_ratio,max_throughput_ratio,median_p99_us_ratio,min_p99_us_ratio,max_p99_us_ratio,median_cpu_us_per_op_ratio,min_cpu_us_per_op_ratio,max_cpu_us_per_op_ratio
main,read,4096,2560,no_registered_buffers,1,1.2251455237907012,1.2251455237907012,1.2251455237907012,0.9268157023663313,0.9268157023663313,0.9268157023663313,0.816221863572718,0.816221863572718,0.816221863572718
main,read,4096,2560,no_registered_files,1,0.9997992727410749,0.9997992727410749,0.9997992727410749,0.9949180943687296,0.9949180943687296,0.9949180943687296,1.000196016502624,1.000196016502624,1.000196016502624
main,read,4096,2560,reuse_encoded_metadata,1,1.0027158854801201,1.0027158854801201,1.0027158854801201,0.9933525221387893,0.9933525221387893,0.9933525221387893,0.997295901163184,0.997295901163184,0.997295901163184
main,read,4096,2560,single_reap,1,1.0047866415805025,1.0047866415805025,1.0047866415805025,0.989438591563939,0.989438591563939,0.989438591563939,0.995235234231991,0.995235234231991,0.995235234231991
main,read,65536,160,kernel_split,1,1.0014384373076586,1.0014384373076586,1.0014384373076586,0.9951615758467622,0.9951615758467622,0.9951615758467622,0.9985549723114936,0.9985549723114936,0.9985549723114936
main,read,65536,160,no_defer_taskrun,1,0.9996612064837102,0.9996612064837102,0.9996612064837102,1.0000018742773553,1.0000018742773553,1.0000018742773553,1.000351867423412,1.000351867423412,1.000351867423412
main,read,65536,160,no_huge_pages,1,1.0025640820144728,1.0025640820144728,1.0025640820144728,0.9869330685147543,0.9869330685147543,0.9869330685147543,0.9974475390231968,0.9974475390231968,0.9974475390231968
main,read,65536,160,no_registered_buffers,1,1.0024396238716304,1.0024396238716304,1.0024396238716304,0.9970976952189995,0.9970976952189995,0.9970976952189995,0.9973896448146259,0.9973896448146259,0.9973896448146259
main,read,65536,160,no_registered_files,1,1.000909208914081,1.000909208914081,1.000909208914081,0.9961296355328809,0.9961296355328809,0.9961296355328809,0.9990850104786493,0.9990850104786493,0.9990850104786493
main,read,65536,160,reuse_encoded_metadata,1,1.0020300760104108,1.0020300760104108,1.0020300760104108,0.9922573967884066,0.9922573967884066,0.9922573967884066,0.9979900221333725,0.9979900221333725,0.9979900221333725
main,read,65536,160,single_reap,1,1.0019071185748878,1.0019071185748878,1.0019071185748878,0.9893532177300507,0.9893532177300507,0.9893532177300507,0.9981003699811984,0.9981003699811984,0.9981003699811984
main,read,65536,640,kernel_split,3,0.9981289923519515,0.9973361175018526,1.0006268930329498,1.0059418611892952,0.9981377992205673,1.0114952357042675,1.0017293216664882,0.9993646784762469,1.0027319589960666
main,read,65536,640,no_defer_taskrun,3,0.9984031794666712,0.997348321694923,0.9998988320523015,1.0059779791677972,0.9981377992205673,1.0077675302347928,1.0016838665927437,1.0001196293534713,1.0027478691417313
main,read,65536,640,no_huge_pages,3,0.9991571113368352,0.9988176952572504,1.0013484293040795,1.0032033576210486,0.9953444980514179,1.0041388936556404,1.00084952633745,0.9986630488004743,1.0010790431776833
main,read,65536,640,no_registered_buffers,3,1.0013190095926168,0.9994261964094026,1.003568812162687,1.0068546957120441,1.0009311003897166,1.0160929494846593,0.9987592471796398,0.9964302632119576,1.0005360584648262
main,read,65536,640,no_registered_files,3,1.000569284715149,0.999266809684248,1.0005924373208537,0.9972066988308508,0.995900681439058,1.0032193508995622,0.9994131304959263,0.9993506764687256,1.0008169386437111
main,read,65536,640,reuse_encoded_metadata,3,0.9983686324171362,0.9980831191842038,1.0010639895030544,1.0077675302347928,0.9962755984411344,1.0078170646799538,1.001583705770505,0.9989348715274087,1.001816716892762
main,read,65536,640,single_reap,3,0.9993545715764758,0.9982242238629008,1.0013450402120645,1.000464854052802,0.9944133976617016,1.0087366074360324,1.0005532839700446,0.9986600832521029,1.001899216255016
main,read,65536,2560,kernel_split,1,1.0004417198828355,1.0004417198828355,1.0004417198828355,1.0025086358467623,1.0025086358467623,1.0025086358467623,0.9997757474105784,0.9997757474105784,0.9997757474105784
main,read,65536,2560,no_defer_taskrun,1,0.9999787702796814,0.9999787702796814,0.9999787702796814,0.9991650819570039,0.9991650819570039,0.9991650819570039,1.0002085729759247,1.0002085729759247,1.0002085729759247
main,read,65536,2560,no_huge_pages,1,0.999024944724003,0.999024944724003,0.999024944724003,1.0013941178835095,1.0013941178835095,1.0013941178835095,1.0011206620136253,1.0011206620136253,1.0011206620136253
main,read,65536,2560,no_registered_buffers,1,1.0010467325293932,1.0010467325293932,1.0010467325293932,1.0069667076997735,1.0069667076997735,1.0069667076997735,0.9991676570897895,0.9991676570897895,0.9991676570897895
main,read,65536,2560,no_registered_files,1,1.0003350826994448,1.0003350826994448,1.0003350826994448,0.9980505639937512,0.9980505639937512,0.9980505639937512,0.9998315890422877,0.9998315890422877,0.9998315890422877
main,read,65536,2560,reuse_encoded_metadata,1,1.0003173486696872,1.0003173486696872,1.0003173486696872,0.9986078229753775,0.9986078229753775,0.9986078229753775,0.9998366419392861,0.9998366419392861,0.9998366419392861
main,read,65536,2560,single_reap,1,1.0002772615160256,1.0002772615160256,1.0002772615160256,0.9935924921407401,0.9935924921407401,0.9935924921407401,0.9999142283917526,0.9999142283917526,0.9999142283917526
main,read,4194304,160,kernel_split,1,0.9379701950993464,0.9379701950993464,0.9379701950993464,1.304747046744295,1.304747046744295,1.304747046744295,1.064373022421287,1.064373022421287,1.064373022421287
