suite,run,order,round,variant,devices,key_bytes,value_bytes,clients,operations,seconds,ops_per_second,logical_gib_s,physical_read_bytes,physical_gib_s,physical_reads,physical_iops,read_amplification,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,min_disk_iops,max_disk_iops
main,ablate-r1-no_registered_buffers-v2-d20-k16-v1024,16,1,no_registered_buffers,20,16,1024,160,13855466,5.000201767,2770981.3814799204,2.6426137747573093,56751988736,10.570455099029237,13855462,2770980.581512202,4.0,55.615,84.543,105.151,19.99913256700387,99.999698,7.217346424869434,3728.26953125,138189.62357884386,138883.59557471433
main,ablate-r1-no_registered_buffers-v2-d20-k16-v1024,16,1,no_registered_buffers,20,16,1024,640,48980044,5.000431703,9795163.079742597,9.34139545416126,200622260224,37.36558181664504,48979255,9795005.293365967,4.0,62.815,108.415,137.599,19.997919367643046,99.99823,2.0416116816881584,3728.26953125,478218.7103096206,513146.69460649963
main,ablate-r1-no_registered_buffers-v2-d20-k16-v1024,16,1,no_registered_buffers,20,16,1024,2560,67794328,5.000307527,13558031.707836596,12.929946620785328,277685567488,51.71978648314131,67791497,13557465.542658811,4.0,177.279,270.335,282.623,19.99892095836689,100.00075500000003,1.4750607897463048,3728.26953125,642148.1044239781,815942.0151599807
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,160,13890391,5.000233851,2777948.274803598,2.649257921985243,56895041536,10.597031687940971,13890388,2777947.6748316586,4.0,55.487,84.415,105.151,19.998923846331923,99.999296,7.199170707289666,11314.91796875,138516.5215545836,139147.2920533212
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,640,49796886,5.000455148,9958470.684396988,9.497137722393978,203968045056,37.98855088957591,49796211,9958335.696684865,4.0,61.855,107.391,137.087,19.998057184853682,99.999388,2.0081454089317954,11314.91796875,489189.0693146959,516746.3607854762
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,2560,71980924,5.000336221,14395216.80516211,13.728348546182737,294833864704,54.91339418473095,71977904,14394612.845774874,4.0,164.095,251.263,268.287,19.998152840210782,99.997488,1.3892220666686634,11314.91796875,680943.2105185632,918637.826934238
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,160,13893120,5.000236516,2778492.568410338,2.649777000818575,56906219520,10.5991080032743,13893119,2778492.368419798,4.0,55.455,84.479,105.151,19.998843590701863,99.99894800000001,7.19773153906394,11315.67578125,138614.04311219585,139304.81043669095
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,640,49911535,5.000423312,9981461.945476187,9.519063897587001,204437647360,38.076255590348005,49910843,9981323.557192473,4.0,61.727,107.263,136.831,19.998124710766486,99.999089,2.0035266196481434,11315.67578125,491143.6186025045,514967.4016238568
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,2560,72223269,5.000370803,14443582.655244138,13.774473815197123,295826509824,55.09789526078849,72220238,14442976.50019696,4.0,163.199,250.111,267.007,19.99822651952237,99.99854799999997,1.3845752121798858,11315.67578125,683334.1235313985,911267.2198762137
main,ablate-r1-control_before-v2-d20-k16-v4096,19,1,control_before,20,16,4096,160,12544853,5.000239609,2508850.3713742727,9.570504651543704,102767435776,19.141009303087408,12544853,2508850.3713742727,2.0,61.503,96.831,115.071,19.998913616061476,99.99936000000001,7.971345698510777,11320.7265625,125055.80710062328,125739.77432368281
main,ablate-r1-control_before-v2-d20-k16-v4096,19,1,control_before,20,16,4096,640,43511036,5.000416694,8701482.028929487,33.19351970264239,356442406912,66.38703940528478,43510814,8701437.632629422,2.0,69.951,123.647,158.079,19.99827356787878,99.99970099999999,2.2982606297859696,11320.7265625,426199.4810466889,453368.41682018427
main,ablate-r1-control_before-v2-d20-k16-v4096,19,1,control_before,20,16,4096,2560,49607151,5.000472123,9920493.461373108,37.843679280750685,406381780992,75.68735856150137,49606402,9920343.675516577,2.0,264.191,328.191,424.959,19.998291469327334,100.00089900000003,2.015856524395042,11320.7265625,434236.7973641036,738396.4772079983
main,ablate-r1-kernel_split-v2-d20-k16-v4096,20,1,kernel_split,20,16,4096,160,12545700,5.000245939,2509016.586993922,9.571138713813484,102774374400,19.14227742762697,12545699,2509016.3870037594,2.0,61.471,96.831,115.071,19.99893589634092,99.99959800000002,7.970826498322135,11317.0546875,125038.24964358417,125719.8161188287
