engine,disks,key_bytes,value_bytes,clients,repeat,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
v2,20,16,4096,160,2,844550.7648759617,3.2217054934538334,6.443410986907667,844546.7666798239,168.831,472.575,645.631,33.665924178654244,39.86252286870964,11327.48046875,2.0,42077.41597431229,42400.270312443405
v2,20,16,4096,160,3,841292.3656397151,3.209275686797009,6.418551373594018,841286.1686158631,169.087,479.743,647.679,33.487383336808016,39.8046918104913,11334.98046875,2.0,41908.473271314164,42245.31150327118
v2,20,16,4096,640,1,875056.9626597236,3.3380774027241653,6.676154805448331,875047.3878462703,418.559,5533.695,7749.631,36.26025759240317,41.43759679620241,11473.9296875,2.0,43524.30930437484,43983.700874848706
v2,20,16,4096,640,2,865496.406529945,3.3016067753980445,6.603213550796089,865486.8334739066,375.807,7761.919,9322.495,35.95973708328346,41.548106741953646,11541.94921875,2.0,43068.58080047135,43497.57337418928
v2,20,16,4096,640,3,871441.6512002823,3.324286083985452,6.648572167970904,871430.4925642526,457.983,4325.375,6209.535,36.483471147835175,41.86564998079283,11541.94921875,2.0,43336.75489660028,43822.75334796891
v2,20,16,4096,2560,1,864277.2027841385,3.2969558822026768,6.5939117644053535,864268.2972656728,359.935,52002.815,53706.751,35.66368598607406,41.26417527986262,11874.3515625,2.0,42993.46834722318,43447.64978897121
v2,20,16,4096,2560,2,858997.056704134,3.276813723389183,6.553627446778366,858989.5411632088,349.951,52527.103,54034.431,35.722844403815216,41.58669011146485,11993.890625,2.0,42717.345732266,43191.41814273627
v2,20,16,4096,2560,3,863366.516854561,3.2934818910772745,6.586963782154549,863358.601911714,357.375,52232.191,53870.591,35.701520134049375,41.35152271612069,11993.890625,2.0,42953.80121053578,43401.1933549685
v2,20,16,4194304,160,1,48738.96847615932,190.38659560999736,190.57252001977272,1608385.9597132576,2811.903,9871.359,13598.719,19.22868970614819,394.523936540715,14189.15234375,1.0009765625,77117.0133022123,82955.81639448373
v2,20,16,4194304,160,2,48612.655273550015,189.89318466230475,190.07862722545153,1604217.6240271505,2813.951,9920.511,13221.887,19.266032270447017,396.3172174413111,14189.15234375,1.0009765625,76940.76681854631,82845.0942482669
v2,20,16,4194304,160,3,48567.49011101813,189.71675824616457,189.90202851788933,1602727.1736635983,2779.135,10117.119,13402.111,19.199729908155998,395.3206118798448,14189.15234375,1.0009765625,76951.46690666025,82619.35501386544
v2,20,16,4194304,640,1,56446.86708952849,220.49557456847066,220.7109022780102,1862746.6139544402,8593.407,50200.575,64487.423,20.13454004550375,356.69898231143685,14189.15234375,1.0009765625,90297.05299798085,96489.74678674493
v2,20,16,4194304,640,2,56441.13215425165,220.47317247754552,220.6884783100431,1862557.3610903046,8667.135,49545.215,69861.375,20.109876516262194,356.29824825807185,14189.15234375,1.0009765625,90302.52763939695,96536.81621711864
v2,20,16,4194304,640,3,56521.56554975043,220.7873654287126,221.0029780902641,1865211.663141764,8765.439,46497.791,63766.527,20.136058974990412,356.2544451686605,14189.15234375,1.0009765625,90219.28536106534,96552.87135794082
v2,20,16,4194304,2560,1,55385.11757163397,216.3481155141952,216.55939297075204,1827708.879863921,21315.583,216662.015,229375.999,19.619332751697197,354.2347405207176,14189.15234375,1.0009765625,88091.24383973051,93911.02897064964
v2,20,16,4194304,2560,2,55281.36200357667,215.94282032647138,216.15370198694646,1824284.9461180302,20938.751,213254.143,225968.127,19.613649858369126,354.79679131458687,14189.15234375,1.0009765625,87979.73527131352,93819.43272201577
