allocated_segments,disk,payload_bytes,records,seconds,segments
12989,0,27863944064320,32665360,11640.392978002,14307
13026,0,27943875553780,32759065,11670.393114224,14307
13055,0,28006439718920,32832410,11700.394205528,14307
13086,0,28073358510320,32910860,11730.394407164,14307
13119,0,28143288434080,32992840,11760.394673748,14307
13151,0,28212698020520,33074210,11790.396428683,14307
13188,0,28290902160680,33165890,11820.397729199,14307
13219,0,28358435120720,33245060,11850.399442421,14307
13250,0,28424257791700,33322225,11880.401074009,14307
13280,0,28488881980820,33397985,11910.401264594,14307
13315,0,28564740337980,33486915,11940.402110547,14307
13347,0,28632785105220,33566685,11970.402640079,14307
13378,0,28698654691860,33643905,12000.403143593,14307
13409,0,28766085290460,33722955,12030.403451051,14307
13446,0,28844860948660,33815305,12060.40359161,14307
13480,0,28918309546920,33901410,12090.405430687,14307
13512,0,28985727350340,33980445,12120.406435411,14307
13549,0,29066426550600,34075050,12150.407668617,14307
13581,0,29134565149160,34154930,12180.408280709,14307
13616,0,29209480928060,34242755,12210.408408149,14307
13648,0,29277547020600,34322550,12240.408786636,14307
13689,0,29366767810740,34427145,12270.409406297,14307
13734,0,29462710335440,34539620,12300.409919392,14307
13782,0,29564837197140,34659345,12330.410255759,14307
13828,0,29664921095100,34776675,12360.411522578,14307
13875,0,29766258920700,34895475,12390.412466789,14307
13918,0,29858439662480,35003540,12420.414107045,14307
13960,0,29947016428560,35107380,12450.415096656,14307
14007,0,30048290278260,35226105,12480.415881637,14307
14051,0,30142676056060,35336755,12510.416766325,14307
14097,0,30242201231160,35453430,12540.417088337,14307
14141,0,30336087996940,35563495,12570.418910732,14307
14188,0,30436078063580,35680715,12600.420223495,14307
14233,0,30532860805100,35794175,12630.421032557,14307
14276,0,30625804992620,35903135,12660.422889191,14307
35,1,74706790960,87580,30.000391936,14307
71,1,151554642040,177670,60.001590437,14307
102,1,218575794880,256240,90.003243869,14307
137,1,292890200320,343360,120.003482209,14307
174,1,372002798260,436105,150.004448236,14307
205,1,439041011340,514695,180.006457951,14307
237,1,507601850840,595070,210.008046315,14307
269,1,575842810840,675070,240.009902414,14307
303,1,648020421220,759685,270.010653516,14307
339,1,726173380660,851305,300.012426647,14307
370,1,792311666080,928840,330.013323856,14307
404,1,866378698040,1015670,360.013840184,14307
443,1,948293440400,1111700,390.015742963,14307
479,1,1026868640780,1203815,420.01593199,14307
511,1,1095945552540,1284795,450.016762703,14307
549,1,1177395403360,1380280,480.016826297,14307
585,1,1253036242460,1468955,510.017656392,14307
618,1,1325691539560,1554130,540.017970687,14307
653,1,1399536788400,1640700,570.01897835,14307
685,1,1468481483300,1721525,600.020608334,14307
718,1,1540262443100,1805675,630.021930201,14307
756,1,1620987233720,1900310,660.022364577,14307
798,1,1709854023880,2004490,690.022424671,14307
828,1,1775578598480,2081540,720.023955529,14307
864,1,1851611823100,2170675,750.025309783,14307
897,1,1922369168500,2253625,780.027499374,14307
929,1,1992661622360,2336030,810.02785864,14307
962,1,2062894365380,2418365,840.029230752,14307
1001,1,2145781541420,2515535,870.030497028,14307
1035,1,2219494573400,2601950,900.031613435,14307
1068,1,2289309340540,2683795,930.031861199,14307
1104,1,2368259866200,2776350,960.032681371,14307
1136,1,2436283308140,2856095,990.034722956,14307
1167,1,2502583665840,2933820,1020.03480466,14307
1208,1,2589467203100,3035675,1050.035178592,14307
1243,1,2665709415660,3125055,1080.036972569,14307
1276,1,2737362423660,3209055,1110.037042972,14307
1310,1,2809697841260,3293855,1140.03842347,14307
1342,1,2878339716900,3374325,1170.038995231,14307
1375,1,2948730267140,3456845,1200.039177529,14307
1407,1,3017615251200,3537600,1230.041259661,14307
1438,1,3084474331760,3615980,1260.043010892,14307
1471,1,3153683460380,3697115,1290.045080123,14307
1503,1,3223988709420,3779535,1320.0462028,14307
1542,1,3307750222760,3877730,1350.048034161,14307
1576,1,3379211303060,3961505,1380.048811536,14307
1607,1,3445665202920,4039410,1410.049838494,14307
1638,1,3513176837660,4118555,1440.051372636,14307
1670,1,3581562809700,4198725,1470.051656359,14307
1707,1,3660901455820,4291735,1500.052178822,14307
1740,1,3730827114520,4373710,1530.052388891,14307
1776,1,3808284869180,4464515,1560.052825279,14307
1811,1,3883708190220,4552935,1590.054446999,14307
1844,1,3954329053700,4635725,1620.056070668,14307
1891,1,4056699023820,4755735,1650.057178692,14307
1925,1,4129281814900,4840825,1680.058135543,14307
1958,1,4199130702520,4922710,1710.058587921,14307
1989,1,4265277518060,5000255,1740.059610355,14307
2027,1,4347930115800,5097150,1770.06110474,14307
2060,1,4418858063600,5180300,1800.061619469,14307
2092,1,4487077698300,5260275,1830.063156648,14307
2125,1,4558022706340,5343445,1860.065088494,14307
2168,1,4649388821660,5450555,1890.065295917,14307
2199,1,4716367323900,5529075,1920.066976509,14307
2240,1,4803400138260,5631105,1950.06716589,14307
2273,1,4874596784840,5714570,1980.067446577,14307
2306,1,4945831816960,5798080,2010.069387273,14307
2338,1,5013833933600,5877800,2040.070762787,14307
2372,1,5087005302960,5963580,2070.071279094,14307
2411,1,5170267804280,6061190,2100.071368937,14307
2441,1,5236269607780,6138565,2130.072040859,14307
2477,1,5313002302240,6228520,2160.072141692,14307
2509,1,5380859406840,6308070,2190.072508793,14307
2569,1,5510321038080,6459840,2220.074456098,14307
2599,1,5575653227160,6536430,2250.074883994,14307
2639,1,5659410475440,6634620,2280.075105628,14307
2672,1,5730952591880,6718490,2310.075871278,14307
2703,1,5797329720660,6796305,2340.07763244,14307
2739,1,5875367523480,6887790,2370.079499766,14307
2781,1,5964093566660,6991805,2400.079784898,14307
2823,1,6055805151840,7099320,2430.081837939,14307
2856,1,6126336449060,7182005,2460.082081786,14307
2889,1,6197797529360,7265780,2490.083590845,14307
2924,1,6272858320300,7353775,2520.085598412,14307
2956,1,6341129135720,7433810,2550.086314439,14307
2996,1,6426460191140,7533845,2580.088518962,14307
3029,1,6497371078700,7616975,2610.088830085,14307
3063,1,6569454857760,7701480,2640.089732201,14307
3096,1,6641333913940,7785745,2670.091700139,14307
3130,1,6713622415880,7870490,2700.093485662,14307
3162,1,6782596966200,7951350,2730.095055187,14307
3198,1,6859909708820,8041985,2760.096982414,14307
3234,1,6937167005660,8132555,2790.099320226,14307
3267,1,7007118254720,8214560,2820.10071468,14307
3301,1,7080366395160,8300430,2850.102578256,14307
3333,1,7149694945460,8381705,2880.104624996,14307
3366,1,7219313519840,8463320,2910.105618642,14307
3399,1,7290761804960,8547080,2940.107489979,14307
3439,1,7375747390520,8646710,2970.10793024,14307
3473,1,7449605434540,8733295,3000.108959504,14307
3511,1,7530927333560,8828630,3030.110328573,14307
3543,1,7600686654920,8910410,3060.110699922,14307
3575,1,7667899735460,8989205,3090.112619057,14307
3608,1,7738256165220,9071685,3120.112812378,14307
3639,1,7804803896400,9149700,3150.113417422,14307
3673,1,7877719362160,9235180,3180.114510142,14307
3707,1,7951675502560,9321880,3210.115945877,14307
3751,1,8045148557520,9431460,3240.116322434,14307
3783,1,8114037806640,9512220,3270.116504722,14307
3823,1,8200614259580,9613715,3300.117687198,14307
3858,1,8274595990340,9700445,3330.119663723,14307
3900,1,8365002467160,9806430,3360.121233457,14307
3940,1,8451007402060,9907255,3390.12204706,14307
3975,1,8525752578560,9994880,3420.122817341,14307
4008,1,8597000405860,10078405,3450.122950927,14307
4043,1,8673306594320,10167860,3480.124611757,14307
4076,1,8742767361480,10249290,3510.12485531,14307
4114,1,8824481646020,10345085,3540.125090695,14307
4150,1,8901977786220,10435935,3570.125546415,14307
4186,1,8979409950520,10526710,3600.125897263,14307
4217,1,9046827753940,10605745,3630.127516462,14307
4251,1,9118152352320,10689360,3660.129614378,14307
4290,1,9201717672900,10787325,3690.130454418,14307
4326,1,9279247933580,10878215,3720.131530259,14307
4359,1,9349408170580,10960465,3750.132410426,14307
4389,1,9414467395820,11036735,3780.133782775,14307
4422,1,9485109584600,11119550,3810.134199448,14307
4462,1,9570585652060,11219755,3840.136259252,14307
4497,1,9646055888760,11308230,3870.136530426,14307
4539,1,9736351474020,11414085,3900.136859833,14307
4571,1,9805756795400,11495450,3930.138279176,14307
4609,1,9887343128140,11591095,3960.139111223,14307
4647,1,9969257870500,11687125,3990.140929788,14307
4680,1,10038889240060,11768755,4020.142297844,14307
4717,1,10118065813900,11861575,4050.144476572,14307
4757,1,10203294507880,11961490,4080.144809502,14307
4793,1,10281212889020,12052835,4110.146368255,14307
4825,1,10350703511600,12134300,4140.148150198,14307
4859,1,10424126519500,12220375,4170.148571392,14307
4899,1,10509265647220,12320185,4200.149595451,14307
