repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,seconds,verified_reads,workload,device_read_bytes_per_op,device_write_amplification,cpu_percent
1,4.8767759999999996,4.724545,106845360128,3068772,0,0,True,v2,9.36504566536436,95902,1534429,153436.90818132967,388.762,1286.025,834.833,100560338944,read,64,10.000390507,True,65536,69632.0,0.0,96.00946076335055
1,0.01701799999999999,0.0325,0,0,580751360,8235,True,legacy,8.984402669366611,0,30656,551001.1942972455,,,,536725248,write,64,0.055636903,True,mixed,0.0,1.0820272796259438,89.00207835076655
1,0.11063,0.234064,3679440896,110810,0,0,True,legacy,0.18030211940865873,6926,110810,11080.953189621347,71.458,355.023,176.876,1935987444,read,1,10.000042244,True,mixed,33204.95348795235,0.0,3.4469254388081767
1,2.8899660000000003,5.052357,115592523776,3472520,0,0,True,legacy,5.663205839904945,217064,3473021,347288.6728127719,157.146,1009.54,622.088,60810560704,read,64,10.000386629,True,mixed,33282.990162167174,0.0,79.42015938631967
1,0.01693,0.029426,0,0,568975360,4790,True,v2,8.930153621006706,0,30656,547674.1739559028,,,,536725248,write,64,0.055974887,True,mixed,0.0,1.0600868174548779,82.81570983787783
1,0.249766,0.234672,2087186432,150191,0,0,True,v2,0.12328936869731402,4732,75711,7571.046699074133,123.767,292.534,230.285,1323818836,read,1,10.000070401,True,mixed,27567.809591737,0.0,4.844345895320462
1,5.3768899999999995,4.5003,67175051264,4830532,0,0,True,v2,3.971508739760582,152170,2434706,243462.05027014203,249.205,628.557,481.54,42645247916,read,64,10.000351173,True,mixed,27590.621316906436,0.0,98.7684315193598
2,0.09781300000000001,1.299995,0,0,1030795264,83885,True,legacy,0.35771623257017005,0,5368704,3840948.800343026,,,,536870400,write,64,1.3977546379999999,True,100,0.0,1.9200076294018071,100.00381769436133
2,0.08367000000000002,0.30376099999999995,710479872,173457,0,0,True,legacy,0.00161544185424464,10842,173457,17345.67483142582,55.909,64.419,63.699,17345700,read,1,10.00001451,True,100,4096.0,0.0,3.8743043783843465
2,4.160062999999999,5.321629000000001,31817388032,7767862,0,0,True,legacy,0.07234370402079765,485495,7767917,776784.6071020741,76.658,170.206,135.518,776791700,read,64,10.000091311,True,100,4096.0,0.0,94.81605422512726
