run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
split-r2-v1-d20-k16-v100,v1,20,16,100,640,1,49906644,5.000359246,9980611.70103377,0.9295168985644141,38.0730121651984,9979572.775679724,49901449,204417613824,61.791,112.255,146.943,19.998367333305794,99.999021,2.003721608690017,11264.99609375,40.96,492617.80580474716,512619.56869408494
split-r2-v1-d20-k16-v1024,v1,20,16,1024,640,1,49895326,5.000445702,9978175.74142314,9.51592992918314,38.06371971673256,9978033.554097774,49894615,204371255296,61.759,107.199,136.703,19.997977372297843,99.9988,2.004171693356608,11265.23046875,4.0,490936.6377117397,514888.7026150934
split-r2-v1-d20-k16-v4096,v1,20,16,4096,640,1,43593519,5.000500487,8717831.167766467,33.25588671785914,66.51177343571828,8717783.572530627,43593281,357118107648,69.759,123.519,158.591,19.99809484270129,100.00048299999997,2.293930044968381,11264.99609375,2.0,428352.12306619657,452135.34242777486
split-r2-v1-d20-k16-v4194304,v1,20,16,4194304,640,1,294569,5.008262424,58816.60645185074,229.75236895254196,229.97673650034716,1940948.0129110743,9720777,1236718489600,10305.535,21315.583,26607.615,19.962206357419902,99.975968,339.39745187035976,10321.32421875,1.0009765625,95186.3060760412,98309.54497124012
split-r2-v1-d20-k16-v65536,v1,20,16,65536,640,1,15300485,5.000665794,3059689.5754077663,186.74863131150917,198.4204207684785,3059689.5754077663,15300485,1065403371520,183.423,558.079,863.743,19.99798689206304,100.00324900000001,6.535952879925049,10372.7890625,1.0625,150975.29631071363,154845.38097488385
split-r2-v2-d20-k16-v100,v2,20,16,100,640,1,50118965,5.000365084,10023061.148148756,0.9334703114022275,38.234943955035234,10022259.206703955,50114955,205287280640,61.983,112.319,146.815,19.998276589837893,99.998684,1.995226437736693,11315.67578125,40.96,493059.59836591803,516707.4716738823
split-r2-v2-d20-k16-v1024,v2,20,16,1024,640,1,49764654,5.000429246,9952076.422200814,9.49103967876512,37.96415871506048,9951937.63411566,49763960,203836022784,61.919,107.391,137.087,19.998030785055526,99.998738,2.0094330003781398,11314.50390625,4.0,488452.2667636601,514645.6180854038
split-r2-v2-d20-k16-v4096,v2,20,16,4096,640,1,43476596,5.000410013,8694606.21968401,33.16729057191471,66.33458114382942,8694560.02347222,43476365,356160274432,70.015,123.711,157.951,19.998193296154415,99.999166,2.3000688922380217,11316.8203125,2.0,427304.5599150951,452964.25575332117
split-r2-v2-d20-k16-v4194304,v2,20,16,4194304,640,1,298561,5.008437567,59611.60461841094,232.85783054066772,233.08523076580508,1967182.9524075608,9852513,1253478502400,10264.575,19234.815,26984.447,19.991217153171718,100.12476300000002,335.35780962684345,10339.65234375,1.0009765625,98279.75160222259,98431.2958692413
split-r2-v2-d20-k16-v65536,v2,20,16,65536,640,1,15281253,5.00061996,3055871.6963566253,186.51560646707918,198.17283187127163,3055871.6963566253,15281253,1064064208896,183.551,560.127,866.815,19.998188184650605,100.00333899999998,6.544184498483206,10388.94140625,1.0625,150737.10980428115,154478.64588373958
