repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,huge_pages,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,read_range,seconds,verified_reads,workload,memory_arena_backing,memory_deferred_taskrun,memory_fixed_files,memory_observed_anon_huge_bytes,memory_observed_hugetlb_bytes,memory_pool_bytes,memory_registered_buffers,device_read_bytes_per_op,device_write_amplification,cpu_percent
0,0.13729299999999997,0.047819,355860480,86880,0,0,True,v2,0.01657091129736048,Disabled,5430,86880,17375.859884541063,55.738,64.368,63.629,88965120,read,1,full,5.000040319,False,1024,Plain,True,True,0,0,1073741824,True,4096.0,0.0,3.7022101461178227
0,2.466476,2.2016470000000004,17008918528,4152519,0,0,True,v2,0.7920233696944503,Disabled,259536,4152568,830496.6969007279,71.309,169.216,129.908,4252229632,read,64,full,5.000101765,False,1024,Plain,True,True,0,0,1073741824,True,4096.0,0.0,93.36055983252574
0,0.013370999999999994,0.052972000000000005,0,0,578818048,6145,True,legacy,7.45563064734199,Disabled,0,131072,1954448.8404168186,,,,536870912,write,64,full,0.067063408,False,4096,Plain,True,True,,,1073741824,True,0.0,1.0781326293945312,98.92578080732191
0,0.12940999999999997,0.05472999999999999,357019648,87163,0,0,True,legacy,0.06649968440176666,Disabled,5448,87163,17432.49326781672,55.669,67.579,63.718,357019648,read,1,full,5.000030613,False,4096,Plain,True,True,0,0,1073741824,True,4096.0,0.0,3.6827774518267726
0,2.647144,1.9954749999999999,17375825920,4242074,0,0,True,legacy,3.2364096096487174,Disabled,265135,4242145,848405.3607117534,69.888,168.237,129.237,17375825920,read,64,full,5.000139316,False,4096,Plain,True,True,0,0,1073741824,True,4096.0,0.0,92.84979290765024
0,0.024630999999999986,0.022815,0,0,553648128,6144,True,v2,8.607842598505224,Disabled,0,131072,2256494.2901425534,,,,536870912,write,64,full,0.058086564,False,4096,Plain,True,True,,,1073741824,True,0.0,1.03125,81.68153998573575
0,0.149467,0.030976999999999998,356409344,87014,0,0,True,v2,0.06638598266280528,Disabled,5439,87014,17402.687039158427,55.629,68.049,63.578,356409344,read,1,full,5.000032455,False,4096,Plain,True,True,0,0,1073741824,True,4096.0,0.0,3.608856574911972
0,2.7027740000000002,1.932134,17465823232,4264049,0,0,True,v2,3.25319535465798,Disabled,266508,4264117,852805.6430514615,69.669,168.507,128.617,17465823232,read,64,full,5.000104109,False,4096,Plain,True,True,0,0,1073741824,True,4096.0,0.0,92.69622989764032
0,0.010537999999999992,0.03721,0,0,537399296,4225,True,legacy,7.485131347962124,Disabled,0,128,1916.1936250783037,,,,536870912,write,64,full,0.066799095,False,4194304,Plain,True,True,,,1073741824,True,0.0,1.0009841918945312,71.48001032049909
0,0.21431500000000003,0.0,28726788096,219168,0,0,True,legacy,5.350118076113875,Disabled,429,6849,1369.630227485152,698.855,1738.894,1155.276,28726788096,read,1,full,5.000619775,False,4194304,Plain,True,True,,,1073741824,True,4194304.0,0.0,4.285768757533661
