engine,disks,key_bytes,value_bytes,clients,samples,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops,min_ops_per_second,max_ops_per_second
moat,1,16,128,8,3,145323.89415628515,0.017323958177123684,0.5543399592842809,145316.89428661854,53.919,64.159,91.455,1.5415708968748434,10.607828160845989,578.7265625,31.99845864418489,145316.89428661854,145316.89428661854,145237.22712252152,145507.67560038622
moat,1,16,128,32,3,510141.8386578061,0.06081364615652634,1.9456216582532935,510029.04417686263,61.567,92.927,108.607,2.1283973336265722,4.17202591380828,578.7265625,31.99337396807136,510029.04417686263,510029.04417686263,508996.6481950958,510159.1834753834
moat,1,16,128,128,3,742945.4146490041,0.08856599505531837,2.832413106657917,742489.7034580922,172.799,232.447,254.207,2.103096345227063,2.828445992281731,592.1015625,31.98062022392517,742489.7034580922,742489.7034580922,742573.0733904736,743551.8836018068
moat,1,16,4096,8,3,135846.8975976661,0.5182147888094563,1.036380750465231,135840.49772497875,57.375,85.823,102.143,1.5126893703931568,11.11816765705334,578.3046875,1.9999028262828402,135840.49772497875,135840.49772497875,135836.38337825608,136180.49657201816
moat,1,16,4096,32,3,434839.17633524816,1.6587798169526984,3.31683640526437,434743.18137379334,71.743,110.527,135.167,2.07547846311662,4.772979473948059,578.66015625,1.9995837305735191,434743.18137379334,434743.18137379334,433912.5726844597,435272.0319136376
moat,1,16,4096,128,3,679219.1039968746,2.5910152587771402,5.178717362662062,678775.645084924,186.239,248.959,280.319,2.085747220301803,3.07455663174354,592.8828125,1.9987212908604088,678775.645084924,678775.645084924,677862.0673929779,680219.9574368981
moat,1,256,65536,8,3,65895.53940170113,4.02194454356086,4.269710571253866,65839.94164651609,114.687,242.687,343.039,1.2732871897564266,19.322813066214255,545.60546875,1.0616216068856383,65839.94164651609,65839.94164651609,64830.38093040686,78861.61843460848
moat,1,256,65536,32,3,155797.33854861432,9.509114901648823,10.066527225213845,155228.21840743872,192.255,419.839,548.863,1.5565908540455013,9.994923603766418,545.7890625,1.0585790896312421,155228.21840743872,155228.21840743872,155560.41340900332,156062.74473705504
moat,1,256,65536,128,3,189066.77931141327,11.539720416956376,12.075072901644912,186200.46533698848,598.015,1881.087,2541.567,1.6403458756638603,8.678034785385787,560.9375,1.0463921538256589,186200.46533698848,186200.46533698848,189022.7357035119,189166.47345637382
moat,1,4096,262144,8,3,41542.77578316745,10.142279243937367,10.425036932126076,41406.983053564516,181.887,372.479,463.359,1.233196606848032,29.68092314207072,608.02734375,1.0278791069924178,41406.983053564516,41406.983053564516,41517.224645517716,41560.33302177337
moat,1,4096,262144,32,3,55167.21795074692,13.468559070006572,13.686726990146886,54362.02060765251,549.375,1175.551,1490.943,1.3006854518933475,23.575098928814743,608.02734375,1.0161859241565296,54362.02060765251,54362.02060765251,55159.15375221965,55182.49112132422
moat,1,4096,262144,128,3,57802.527406592286,14.11194516762507,13.684144582134973,54351.76359604834,2119.679,4052.991,4988.927,1.3092230607303412,22.645769152309132,611.78515625,0.9697645788168909,54351.76359604834,54351.76359604834,57781.258512504086,57846.42930348175
