run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
matrix-r1-v1-d20-k16-v4194304,v1,20,16,4194304,2560,1,288285,5.017578827,57455.00169299084,224.43360036324546,224.65277380110018,1896015.0558686976,9513405,1210335744000,44040.191,59211.775,65765.375,19.951102404474494,100.10622900000001,347.2474426348926,10322.87890625,1.0009765625,89182.45540898603,98436.12168925472
matrix-r1-v1-d20-k16-v65536,v1,20,16,65536,160,1,5527037,5.000404146,1105318.0580256241,67.46326037754054,71.67971415113682,1105318.0580256241,5527037,384858640384,140.799,277.759,485.887,19.99876811557223,100.00192299999999,18.093224814670137,10372.7890625,1.0625,54480.19640930839,56217.455988006455
matrix-r1-v1-d20-k16-v65536,v1,20,16,65536,640,1,15302988,5.000650088,3060199.7201768616,186.77976807720103,198.4535035820261,3060199.7201768616,15302988,1065577660416,183.423,557.567,859.135,19.99830746805894,100.004538,6.534968072901841,10372.7890625,1.0625,151639.4841981993,154358.33070030232
matrix-r1-v1-d20-k16-v65536,v1,20,16,65536,2560,1,17927846,5.002989736,3583426.5001578247,218.71499634752348,232.3846836192437,3583426.5001578247,17927846,1248351772672,451.839,3710.975,6098.943,19.99318892866103,100.02571899999998,5.57934952140932,10372.7890625,1.0625,178565.42730272753,179714.14043292773
matrix-r1-v2-d20-k16-v100,v2,20,16,100,160,1,14225472,5.000259339,2844946.8388663507,0.26495632146171766,10.852610927071956,2844943.639032319,14225456,58267533312,55.423,90.239,107.007,19.999151688000076,100.000945,7.02971015654173,11315.44140625,40.96,141927.03855674953,142469.01044585998
matrix-r1-v2-d20-k16-v100,v2,20,16,100,640,1,50163222,5.000366286,10031909.49040008,0.9342943774908855,38.26869770202667,10031115.148591336,50159250,205468557312,61.919,112.383,146.943,19.99829238109538,99.998787,1.9934681827255833,11315.44140625,40.96,494407.78107030055,516364.1726065345
matrix-r1-v2-d20-k16-v100,v2,20,16,100,2560,1,72017937,5.000312285,14402687.851324871,1.3413548331078953,54.94189396409939,14399305.862553744,72001026,294985469952,159.871,246.911,303.615,19.998885129631468,100.00067100000004,1.3885522852452723,11315.44140625,40.96,687455.0636190916,810442.382200135
matrix-r1-v2-d20-k16-v1024,v2,20,16,1024,160,1,13885214,5.000208373,2776927.0726750167,2.6482840277433555,10.593136110973422,2776926.8726833514,13885213,56873836544,55.487,84.479,105.151,19.99886615525252,99.99849799999998,7.201797393976066,11314.17578125,4.0,138487.22860014296,139247.39692043228
matrix-r1-v2-d20-k16-v1024,v2,20,16,1024,640,1,49845902,5.00047262,9968238.16225595,9.506452715164137,38.02581086065655,9968107.174637424,49845247,204168814592,61.791,107.391,137.087,19.997994909529176,99.99942600000003,2.0061714601934586,11314.17578125,4.0,489499.13058418065,515517.2712454528
matrix-r1-v2-d20-k16-v1024,v2,20,16,1024,2560,1,73254168,5.000299745,14649955.349826733,13.971286153628094,55.88514461451238,14649338.98677708,73251086,300049072128,159.999,243.967,268.799,19.998819490770344,100.000092,1.365111293052977,11314.17578125,4.0,695394.9117704342,881546.952141766
